Topic 1,Topic 2,Co-occurrence Count
אמונות ודעות,זהות,429.0
בית מדרש אלול,יחיד וחברה,429.0
מידות וערכים,מעגל השנה,428.5
Animals,Food,428.0
Candles,Shabbat,428.0
Creation,Philosophy,428.0
Leadership,Miriam,428.0
Peace,Truth,428.0
Torah,Wisdom,428.0
Prayer,Shabbat,427.5
Service/Volunteerism,Tikkun Olam,427.5
Egypt,Moses,427.0
Tefilla,Thanksgiving,427.0
Biblical Hebrew,Peshat,426.0
Joseph,Vayigash,425.0
Legal Text,Poverty,425.0
Death,Mourning,424.0
Parashat Bereishit,Tzelem Elohim,424.0
Commandments,Parashat Eikev,423.5
Speech,Torah,423.5
Community,God,423.0
God,Image,423.0
Peshat,RJPS,423.0
יחיד וחברה,ספר בראשית,421.5
יחיד וחברה,סיפורים מכוננים,420.5
Abraham,Jacob,420.0
Chassidut,Tanakh,420.0
Children,Mitzvot,420.0
Debate,Shammai,420.0
Exodus,Moses,420.0
Food,Parashat Eikev,420.0
Gender,Gender Fluid,420.0
Justice,Peace,420.0
Korach,Pirkei Avot,420.0
Maharat,Pesach,420.0
Blessings,Tzedakah,418.0
Family,Tanakh,418.0
Hanukah,Light,418.0
Rabbi Eliyahu Jian,Talmud Eser Sefirot,417.5
Prayer,Siddur,416.5
Middot,Mussar,416.0
Philosophy,Shabbat,416.0
העם היהודי,מעגל השנה,415.0
Chassidut,Mitzvot,414.0
David,Kings,414.0
Parashat Pinchas,Pinchas,414.0
Peshat,The Hebrew Language,414.0
Law,Tshuva,413.0
אחריות וסולידריות,מנהיגות,413.0
Advocacy,Civil/Human Rights,412.5
Creation,Redemption,412.5
Philosophy,Rambam,412.5
God,d'Var Torah,412.0
Kindness,Ruth,412.0
Rosh Hashanah,Tanakh,412.0
Rabbi Michael Maor,Vital Transformation,410.0
Rabbi Yehuda Ashlag,Talmud Eser Sefirot,410.0
Talmud Eser Sefirot,Vital Transformation,410.0
אדם ומרחב,אמונות ודעות,410.0
Menorah,Shammai,409.5
Women,Women in Tanach,409.5
Abraham,Moses,408.0
Biblical Hebrew,NJPS,408.0
Creation,Torah,408.0
God,Middot,408.0
Hannah,Prayer,408.0
LGBTQ,Queer,408.0
NJPS,Peshat,408.0
NJPS,RJPS,408.0
NJPS,The Hebrew Language,408.0
RJPS,The Hebrew Language,408.0
Rabbi Yehuda Tzvi Brandwein,Study,408.0
Vital Transformation,רבי מיכאל מאור,407.5
אישים,תרבות,406.5
Fasting,Mourning,406.0
Jacob,Toldot,406.0
Community,Haggadah,405.0
Esther,Mitzvot,405.0
Mitzvot,Revelation,405.0
Mitzvot,Theology,405.0
אמונות ודעות,תשובה,403.5
High Holidays,Holidays,403.0
Hillel,Menorah,403.0
Afterlife,Olam Haba,402.0
Korach,Shammai,402.0
ימים נוראים,מעגל השנה,402.0
Esther,Holidays,401.5
Creation,Ecology,400.0
Ecology,Environmentalism,400.0
Food,God,400.0
Moshe,Shemot,400.0
Parashat Shelach,Spies,400.0
Rabbi Eliyahu Jian,Rabbi Michael Maor,400.0
Sukkot,Yom Kippur,400.0
Commandments,Rambam,399.0
Commandments,Maimonides,399.0
Law,Repentance,399.0
Rabbi Eliyahu Jian,רבי מיכאל מאור,397.5
Abraham,Tanakh,396.0
Abraham,Torah,396.0
Debate,Korach,396.0
Kindness,Love,396.0
Obligation,Tefilla,396.0
Passover,Redemption,396.0
Pirkei Avot,Tanakh,396.0
Teaching,Torah,396.0
High Holidays,Philosophy,395.0
Rabbi Michael Maor,Rabbi Yehuda Ashlag,395.0
יחיד וחברה,שפה,393.5
Rabbi Yehuda Ashlag,רבי מיכאל מאור,392.5
Community,Holy People,392.0
Hillel,Pirkei Avot,392.0
Law,Rosh Hashanah,392.0
Leadership,Rabbinic Authority,392.0
מעגל השנה,שבועות,392.0
Matzah,Seder,391.5
Community,Mental Health,391.0
Commandments,Thanksgiving,390.5
Exodus,Shemot,390.5
Redemption,Tanakh,390.5
